hour,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,target
1,1,4,12,2002,358,24,52,27213.0
2,1,4,12,2002,358,24,52,25643.0
3,1,4,12,2002,358,24,52,24907.0
4,1,4,12,2002,358,24,52,24721.0
5,1,4,12,2002,358,24,52,25144.0
6,1,4,12,2002,358,24,52,26588.0
7,1,4,12,2002,358,24,52,29005.0
8,1,4,12,2002,358,24,52,30902.0
9,1,4,12,2002,358,24,52,32159.0
10,1,4,12,2002,358,24,52,32972.0
11,1,4,12,2002,358,24,52,33144.0
12,1,4,12,2002,358,24,52,32808.0
13,1,4,12,2002,358,24,52,31940.0
14,1,4,12,2002,358,24,52,31439.0
15,1,4,12,2002,358,24,52,31198.0
16,1,4,12,2002,358,24,52,31334.0
17,1,4,12,2002,358,24,52,33070.0
18,1,4,12,2002,358,24,52,35286.0
19,1,4,12,2002,358,24,52,34519.0
20,1,4,12,2002,358,24,52,33392.0
21,1,4,12,2002,358,24,52,32702.0
22,1,4,12,2002,358,24,52,32098.0
23,1,4,12,2002,358,24,52,31120.0
0,2,4,12,2002,359,25,52,29518.0
1,0,4,12,2002,357,23,52,25460.0
2,0,4,12,2002,357,23,52,24363.0
3,0,4,12,2002,357,23,52,23985.0
4,0,4,12,2002,357,23,52,24040.0
5,0,4,12,2002,357,23,52,24610.0
6,0,4,12,2002,357,23,52,26468.0
7,0,4,12,2002,357,23,52,29544.0
8,0,4,12,2002,357,23,52,32165.0
9,0,4,12,2002,357,23,52,33353.0
10,0,4,12,2002,357,23,52,33700.0
11,0,4,12,2002,357,23,52,33610.0
12,0,4,12,2002,357,23,52,33144.0
13,0,4,12,2002,357,23,52,32450.0
14,0,4,12,2002,357,23,52,31950.0
15,0,4,12,2002,357,23,52,31362.0
16,0,4,12,2002,357,23,52,31159.0
17,0,4,12,2002,357,23,52,32391.0
18,0,4,12,2002,357,23,52,36035.0
19,0,4,12,2002,357,23,52,36649.0
20,0,4,12,2002,357,23,52,36254.0
21,0,4,12,2002,357,23,52,35645.0
22,0,4,12,2002,357,23,52,34458.0
23,0,4,12,2002,357,23,52,32442.0
0,1,4,12,2002,358,24,52,29838.0
1,6,4,12,2002,356,22,51,27142.0
2,6,4,12,2002,356,22,51,25696.0
3,6,4,12,2002,356,22,51,24907.0
4,6,4,12,2002,356,22,51,24520.0
5,6,4,12,2002,356,22,51,24458.0
6,6,4,12,2002,356,22,51,24883.0
7,6,4,12,2002,356,22,51,25909.0
8,6,4,12,2002,356,22,51,27021.0
9,6,4,12,2002,356,22,51,28439.0
10,6,4,12,2002,356,22,51,29397.0
11,6,4,12,2002,356,22,51,29332.0
12,6,4,12,2002,356,22,51,28845.0
13,6,4,12,2002,356,22,51,28314.0
14,6,4,12,2002,356,22,51,27904.0
15,6,4,12,2002,356,22,51,27812.0
16,6,4,12,2002,356,22,51,28081.0
17,6,4,12,2002,356,22,51,29920.0
18,6,4,12,2002,356,22,51,32845.0
19,6,4,12,2002,356,22,51,33169.0
20,6,4,12,2002,356,22,51,33037.0
21,6,4,12,2002,356,22,51,32690.0
22,6,4,12,2002,356,22,51,31745.0
23,6,4,12,2002,356,22,51,30014.0
0,0,4,12,2002,357,23,52,27632.0
1,5,4,12,2002,355,21,51,26969.0
2,5,4,12,2002,355,21,51,25752.0
3,5,4,12,2002,355,21,51,25183.0
4,5,4,12,2002,355,21,51,24949.0
5,5,4,12,2002,355,21,51,25100.0
6,5,4,12,2002,355,21,51,25844.0
7,5,4,12,2002,355,21,51,27304.0
8,5,4,12,2002,355,21,51,28764.0
9,5,4,12,2002,355,21,51,30317.0
10,5,4,12,2002,355,21,51,31370.0
11,5,4,12,2002,355,21,51,31822.0
12,5,4,12,2002,355,21,51,31374.0
13,5,4,12,2002,355,21,51,30798.0
14,5,4,12,2002,355,21,51,30224.0
15,5,4,12,2002,355,21,51,29639.0
16,5,4,12,2002,355,21,51,29439.0
17,5,4,12,2002,355,21,51,30696.0
18,5,4,12,2002,355,21,51,33928.0
19,5,4,12,2002,355,21,51,34353.0
20,5,4,12,2002,355,21,51,33991.0
21,5,4,12,2002,355,21,51,33534.0
22,5,4,12,2002,355,21,51,32674.0
23,5,4,12,2002,355,21,51,31341.0
0,6,4,12,2002,356,22,51,29214.0
1,4,4,12,2002,354,20,51,26437.0
2,4,4,12,2002,354,20,51,24978.0
3,4,4,12,2002,354,20,51,24353.0
4,4,4,12,2002,354,20,51,24029.0
5,4,4,12,2002,354,20,51,24363.0
6,4,4,12,2002,354,20,51,26233.0
7,4,4,12,2002,354,20,51,30013.0
8,4,4,12,2002,354,20,51,32947.0
9,4,4,12,2002,354,20,51,33302.0
10,4,4,12,2002,354,20,51,33448.0
11,4,4,12,2002,354,20,51,33687.0
12,4,4,12,2002,354,20,51,33464.0
13,4,4,12,2002,354,20,51,33006.0
14,4,4,12,2002,354,20,51,32549.0
15,4,4,12,2002,354,20,51,32071.0
16,4,4,12,2002,354,20,51,31958.0
17,4,4,12,2002,354,20,51,33097.0
18,4,4,12,2002,354,20,51,35953.0
19,4,4,12,2002,354,20,51,36073.0
20,4,4,12,2002,354,20,51,35443.0
21,4,4,12,2002,354,20,51,34710.0
22,4,4,12,2002,354,20,51,33555.0
23,4,4,12,2002,354,20,51,31806.0
0,5,4,12,2002,355,21,51,29369.0
1,3,4,12,2002,353,19,51,29752.0
2,3,4,12,2002,353,19,51,28489.0
3,3,4,12,2002,353,19,51,27886.0
4,3,4,12,2002,353,19,51,27712.0
5,3,4,12,2002,353,19,51,28217.0
6,3,4,12,2002,353,19,51,30233.0
7,3,4,12,2002,353,19,51,34349.0
8,3,4,12,2002,353,19,51,36558.0
9,3,4,12,2002,353,19,51,36367.0
10,3,4,12,2002,353,19,51,36089.0
11,3,4,12,2002,353,19,51,35857.0
12,3,4,12,2002,353,19,51,35423.0
13,3,4,12,2002,353,19,51,34704.0
14,3,4,12,2002,353,19,51,34334.0
15,3,4,12,2002,353,19,51,33915.0
16,3,4,12,2002,353,19,51,33851.0
17,3,4,12,2002,353,19,51,35392.0
18,3,4,12,2002,353,19,51,38084.0
19,3,4,12,2002,353,19,51,38035.0
20,3,4,12,2002,353,19,51,37331.0
21,3,4,12,2002,353,19,51,36537.0
22,3,4,12,2002,353,19,51,34945.0
23,3,4,12,2002,353,19,51,32293.0
0,4,4,12,2002,354,20,51,29011.0
1,2,4,12,2002,352,18,51,31149.0
2,2,4,12,2002,352,18,51,30119.0
3,2,4,12,2002,352,18,51,29870.0
4,2,4,12,2002,352,18,51,30024.0
5,2,4,12,2002,352,18,51,30733.0
6,2,4,12,2002,352,18,51,33080.0
7,2,4,12,2002,352,18,51,37307.0
8,2,4,12,2002,352,18,51,39639.0
9,2,4,12,2002,352,18,51,39219.0
10,2,4,12,2002,352,18,51,38385.0
11,2,4,12,2002,352,18,51,37515.0
12,2,4,12,2002,352,18,51,36680.0
13,2,4,12,2002,352,18,51,35867.0
14,2,4,12,2002,352,18,51,35318.0
15,2,4,12,2002,352,18,51,34817.0
16,2,4,12,2002,352,18,51,34906.0
17,2,4,12,2002,352,18,51,36661.0
18,2,4,12,2002,352,18,51,40350.0
19,2,4,12,2002,352,18,51,40810.0
20,2,4,12,2002,352,18,51,40317.0
21,2,4,12,2002,352,18,51,39738.0
22,2,4,12,2002,352,18,51,38234.0
23,2,4,12,2002,352,18,51,35430.0
0,3,4,12,2002,353,19,51,32323.0
1,1,4,12,2002,351,17,51,29971.0
2,1,4,12,2002,351,17,51,29046.0
3,1,4,12,2002,351,17,51,28653.0
4,1,4,12,2002,351,17,51,28774.0
5,1,4,12,2002,351,17,51,29453.0
6,1,4,12,2002,351,17,51,31781.0
7,1,4,12,2002,351,17,51,36196.0
8,1,4,12,2002,351,17,51,38634.0
9,1,4,12,2002,351,17,51,38448.0
10,1,4,12,2002,351,17,51,37814.0
11,1,4,12,2002,351,17,51,37166.0
12,1,4,12,2002,351,17,51,36401.0
13,1,4,12,2002,351,17,51,35676.0
14,1,4,12,2002,351,17,51,35103.0
15,1,4,12,2002,351,17,51,34659.0
16,1,4,12,2002,351,17,51,34654.0
17,1,4,12,2002,351,17,51,36609.0
18,1,4,12,2002,351,17,51,40648.0
19,1,4,12,2002,351,17,51,41086.0
20,1,4,12,2002,351,17,51,40846.0
21,1,4,12,2002,351,17,51,40306.0
22,1,4,12,2002,351,17,51,39097.0
23,1,4,12,2002,351,17,51,36518.0
0,2,4,12,2002,352,18,51,33356.0
1,0,4,12,2002,350,16,51,25834.0
2,0,4,12,2002,350,16,51,24816.0
3,0,4,12,2002,350,16,51,24413.0
4,0,4,12,2002,350,16,51,24440.0
5,0,4,12,2002,350,16,51,25060.0
6,0,4,12,2002,350,16,51,27109.0
7,0,4,12,2002,350,16,51,31289.0
8,0,4,12,2002,350,16,51,34142.0
9,0,4,12,2002,350,16,51,34537.0
10,0,4,12,2002,350,16,51,34628.0
11,0,4,12,2002,350,16,51,34693.0
12,0,4,12,2002,350,16,51,34713.0
13,0,4,12,2002,350,16,51,34505.0
14,0,4,12,2002,350,16,51,34451.0
15,0,4,12,2002,350,16,51,34300.0
16,0,4,12,2002,350,16,51,34463.0
17,0,4,12,2002,350,16,51,36033.0
18,0,4,12,2002,350,16,51,39963.0
19,0,4,12,2002,350,16,51,40425.0
20,0,4,12,2002,350,16,51,40048.0
21,0,4,12,2002,350,16,51,39577.0
22,0,4,12,2002,350,16,51,38257.0
23,0,4,12,2002,350,16,51,35471.0
0,1,4,12,2002,351,17,51,32214.0
1,6,4,12,2002,349,15,50,27066.0
2,6,4,12,2002,349,15,50,25635.0
3,6,4,12,2002,349,15,50,24813.0
4,6,4,12,2002,349,15,50,24502.0
5,6,4,12,2002,349,15,50,24514.0
6,6,4,12,2002,349,15,50,24976.0
7,6,4,12,2002,349,15,50,25966.0
8,6,4,12,2002,349,15,50,27147.0
9,6,4,12,2002,349,15,50,28451.0
10,6,4,12,2002,349,15,50,29305.0
11,6,4,12,2002,349,15,50,29482.0
12,6,4,12,2002,349,15,50,29249.0
13,6,4,12,2002,349,15,50,28811.0
14,6,4,12,2002,349,15,50,28500.0
15,6,4,12,2002,349,15,50,28295.0
16,6,4,12,2002,349,15,50,28625.0
17,6,4,12,2002,349,15,50,30728.0
18,6,4,12,2002,349,15,50,34166.0
19,6,4,12,2002,349,15,50,34627.0
20,6,4,12,2002,349,15,50,34453.0
21,6,4,12,2002,349,15,50,34076.0
22,6,4,12,2002,349,15,50,32894.0
23,6,4,12,2002,349,15,50,30585.0
0,0,4,12,2002,350,16,51,27955.0
1,5,4,12,2002,348,14,50,27522.0
2,5,4,12,2002,348,14,50,25917.0
3,5,4,12,2002,348,14,50,25145.0
4,5,4,12,2002,348,14,50,24696.0
5,5,4,12,2002,348,14,50,24734.0
6,5,4,12,2002,348,14,50,25393.0
7,5,4,12,2002,348,14,50,26738.0
8,5,4,12,2002,348,14,50,28501.0
9,5,4,12,2002,348,14,50,30540.0
10,5,4,12,2002,348,14,50,32188.0
11,5,4,12,2002,348,14,50,32860.0
12,5,4,12,2002,348,14,50,32759.0
13,5,4,12,2002,348,14,50,32268.0
14,5,4,12,2002,348,14,50,31831.0
15,5,4,12,2002,348,14,50,31441.0
16,5,4,12,2002,348,14,50,31470.0
17,5,4,12,2002,348,14,50,32728.0
18,5,4,12,2002,348,14,50,35030.0
19,5,4,12,2002,348,14,50,35012.0
20,5,4,12,2002,348,14,50,34444.0
21,5,4,12,2002,348,14,50,33750.0
22,5,4,12,2002,348,14,50,32792.0
23,5,4,12,2002,348,14,50,31312.0
0,6,4,12,2002,349,15,50,29196.0
1,4,4,12,2002,347,13,50,28319.0
2,4,4,12,2002,347,13,50,27265.0
3,4,4,12,2002,347,13,50,26902.0
4,4,4,12,2002,347,13,50,26929.0
5,4,4,12,2002,347,13,50,27536.0
6,4,4,12,2002,347,13,50,29595.0
7,4,4,12,2002,347,13,50,33615.0
8,4,4,12,2002,347,13,50,36184.0
9,4,4,12,2002,347,13,50,36440.0
10,4,4,12,2002,347,13,50,36394.0
11,4,4,12,2002,347,13,50,36189.0
12,4,4,12,2002,347,13,50,35865.0
13,4,4,12,2002,347,13,50,35519.0
14,4,4,12,2002,347,13,50,35493.0
15,4,4,12,2002,347,13,50,35558.0
16,4,4,12,2002,347,13,50,35888.0
17,4,4,12,2002,347,13,50,37385.0
18,4,4,12,2002,347,13,50,39036.0
19,4,4,12,2002,347,13,50,38716.0
20,4,4,12,2002,347,13,50,37572.0
21,4,4,12,2002,347,13,50,36525.0
22,4,4,12,2002,347,13,50,35039.0
23,4,4,12,2002,347,13,50,32704.0
0,5,4,12,2002,348,14,50,30096.0
1,3,4,12,2002,346,12,50,29024.0
2,3,4,12,2002,346,12,50,27905.0
3,3,4,12,2002,346,12,50,27428.0
4,3,4,12,2002,346,12,50,27304.0
5,3,4,12,2002,346,12,50,27847.0
6,3,4,12,2002,346,12,50,29779.0
7,3,4,12,2002,346,12,50,33504.0
8,3,4,12,2002,346,12,50,36069.0
9,3,4,12,2002,346,12,50,36319.0
10,3,4,12,2002,346,12,50,36086.0
11,3,4,12,2002,346,12,50,35448.0
12,3,4,12,2002,346,12,50,34763.0
13,3,4,12,2002,346,12,50,34327.0
14,3,4,12,2002,346,12,50,34214.0
15,3,4,12,2002,346,12,50,33970.0
16,3,4,12,2002,346,12,50,34090.0
17,3,4,12,2002,346,12,50,35566.0
18,3,4,12,2002,346,12,50,38544.0
19,3,4,12,2002,346,12,50,38702.0
20,3,4,12,2002,346,12,50,38219.0
21,3,4,12,2002,346,12,50,37480.0
22,3,4,12,2002,346,12,50,36125.0
23,3,4,12,2002,346,12,50,33640.0
0,4,4,12,2002,347,13,50,30638.0
1,2,4,12,2002,345,11,50,30625.0
2,2,4,12,2002,345,11,50,29402.0
3,2,4,12,2002,345,11,50,28869.0
4,2,4,12,2002,345,11,50,28760.0
5,2,4,12,2002,345,11,50,29222.0
6,2,4,12,2002,345,11,50,31059.0
7,2,4,12,2002,345,11,50,34424.0
8,2,4,12,2002,345,11,50,37021.0
9,2,4,12,2002,345,11,50,37944.0
10,2,4,12,2002,345,11,50,38562.0
11,2,4,12,2002,345,11,50,38929.0
12,2,4,12,2002,345,11,50,39100.0
13,2,4,12,2002,345,11,50,38931.0
14,2,4,12,2002,345,11,50,38820.0
15,2,4,12,2002,345,11,50,38481.0
16,2,4,12,2002,345,11,50,38457.0
17,2,4,12,2002,345,11,50,39585.0
18,2,4,12,2002,345,11,50,41553.0
19,2,4,12,2002,345,11,50,41305.0
20,2,4,12,2002,345,11,50,40251.0
21,2,4,12,2002,345,11,50,39082.0
22,2,4,12,2002,345,11,50,37097.0
23,2,4,12,2002,345,11,50,34231.0
0,3,4,12,2002,346,12,50,31162.0
1,1,4,12,2002,344,10,50,32282.0
2,1,4,12,2002,344,10,50,31347.0
3,1,4,12,2002,344,10,50,31004.0
4,1,4,12,2002,344,10,50,30901.0
5,1,4,12,2002,344,10,50,31538.0
6,1,4,12,2002,344,10,50,33600.0
7,1,4,12,2002,344,10,50,37667.0
8,1,4,12,2002,344,10,50,39883.0
9,1,4,12,2002,344,10,50,39676.0
10,1,4,12,2002,344,10,50,39161.0
11,1,4,12,2002,344,10,50,38665.0
12,1,4,12,2002,344,10,50,37989.0
13,1,4,12,2002,344,10,50,37331.0
14,1,4,12,2002,344,10,50,36868.0
15,1,4,12,2002,344,10,50,36390.0
16,1,4,12,2002,344,10,50,36448.0
17,1,4,12,2002,344,10,50,37800.0
18,1,4,12,2002,344,10,50,41225.0
19,1,4,12,2002,344,10,50,41496.0
20,1,4,12,2002,344,10,50,41029.0
21,1,4,12,2002,344,10,50,40337.0
22,1,4,12,2002,344,10,50,38818.0
23,1,4,12,2002,344,10,50,36036.0
0,2,4,12,2002,345,11,50,32856.0
1,0,4,12,2002,343,9,50,28448.0
2,0,4,12,2002,343,9,50,27836.0
3,0,4,12,2002,343,9,50,27745.0
4,0,4,12,2002,343,9,50,28093.0
5,0,4,12,2002,343,9,50,29048.0
6,0,4,12,2002,343,9,50,31451.0
7,0,4,12,2002,343,9,50,36031.0
8,0,4,12,2002,343,9,50,38566.0
9,0,4,12,2002,343,9,50,38516.0
10,0,4,12,2002,343,9,50,37986.0
11,0,4,12,2002,343,9,50,37553.0
12,0,4,12,2002,343,9,50,36884.0
13,0,4,12,2002,343,9,50,36234.0
14,0,4,12,2002,343,9,50,35867.0
15,0,4,12,2002,343,9,50,35652.0
16,0,4,12,2002,343,9,50,35971.0
17,0,4,12,2002,343,9,50,38101.0
18,0,4,12,2002,343,9,50,41724.0
19,0,4,12,2002,343,9,50,42386.0
20,0,4,12,2002,343,9,50,42165.0
21,0,4,12,2002,343,9,50,41535.0
22,0,4,12,2002,343,9,50,40280.0
23,0,4,12,2002,343,9,50,36902.0
0,1,4,12,2002,344,10,50,34221.0
1,6,4,12,2002,342,8,49,29193.0
2,6,4,12,2002,342,8,49,28124.0
3,6,4,12,2002,342,8,49,27500.0
4,6,4,12,2002,342,8,49,27266.0
5,6,4,12,2002,342,8,49,27428.0
6,6,4,12,2002,342,8,49,28048.0
7,6,4,12,2002,342,8,49,29167.0
8,6,4,12,2002,342,8,49,30160.0
9,6,4,12,2002,342,8,49,31274.0
10,6,4,12,2002,342,8,49,31605.0
11,6,4,12,2002,342,8,49,31329.0
12,6,4,12,2002,342,8,49,30831.0
13,6,4,12,2002,342,8,49,30370.0
14,6,4,12,2002,342,8,49,30066.0
15,6,4,12,2002,342,8,49,29982.0
16,6,4,12,2002,342,8,49,30446.0
17,6,4,12,2002,342,8,49,32397.0
18,6,4,12,2002,342,8,49,35539.0
19,6,4,12,2002,342,8,49,35962.0
20,6,4,12,2002,342,8,49,35790.0
21,6,4,12,2002,342,8,49,35486.0
22,6,4,12,2002,342,8,49,34151.0
23,6,4,12,2002,342,8,49,32081.0
0,0,4,12,2002,343,9,50,30073.0
1,5,4,12,2002,341,7,49,31190.0
2,5,4,12,2002,341,7,49,30292.0
3,5,4,12,2002,341,7,49,30006.0
4,5,4,12,2002,341,7,49,30013.0
5,5,4,12,2002,341,7,49,30412.0
6,5,4,12,2002,341,7,49,31360.0
7,5,4,12,2002,341,7,49,32942.0
8,5,4,12,2002,341,7,49,34222.0
9,5,4,12,2002,341,7,49,35412.0
10,5,4,12,2002,341,7,49,35336.0
11,5,4,12,2002,341,7,49,34454.0
12,5,4,12,2002,341,7,49,33446.0
13,5,4,12,2002,341,7,49,32375.0
14,5,4,12,2002,341,7,49,31391.0
15,5,4,12,2002,341,7,49,30768.0
16,5,4,12,2002,341,7,49,30868.0
17,5,4,12,2002,341,7,49,32608.0
18,5,4,12,2002,341,7,49,36079.0
19,5,4,12,2002,341,7,49,36382.0
20,5,4,12,2002,341,7,49,35903.0
21,5,4,12,2002,341,7,49,35271.0
22,5,4,12,2002,341,7,49,34427.0
23,5,4,12,2002,341,7,49,32937.0
0,6,4,12,2002,342,8,49,30919.0
1,4,4,12,2002,340,6,49,29608.0
2,4,4,12,2002,340,6,49,28777.0
3,4,4,12,2002,340,6,49,28406.0
4,4,4,12,2002,340,6,49,28399.0
5,4,4,12,2002,340,6,49,28966.0
6,4,4,12,2002,340,6,49,30966.0
7,4,4,12,2002,340,6,49,34198.0
8,4,4,12,2002,340,6,49,36453.0
9,4,4,12,2002,340,6,49,37289.0
10,4,4,12,2002,340,6,49,37068.0
11,4,4,12,2002,340,6,49,36554.0
12,4,4,12,2002,340,6,49,36155.0
13,4,4,12,2002,340,6,49,35554.0
14,4,4,12,2002,340,6,49,35180.0
15,4,4,12,2002,340,6,49,34668.0
16,4,4,12,2002,340,6,49,34714.0
17,4,4,12,2002,340,6,49,36275.0
18,4,4,12,2002,340,6,49,39607.0
19,4,4,12,2002,340,6,49,39751.0
20,4,4,12,2002,340,6,49,38976.0
21,4,4,12,2002,340,6,49,38316.0
22,4,4,12,2002,340,6,49,37105.0
23,4,4,12,2002,340,6,49,35346.0
0,5,4,12,2002,341,7,49,32977.0
1,3,4,12,2002,339,5,49,30204.0
2,3,4,12,2002,339,5,49,29096.0
3,3,4,12,2002,339,5,49,28765.0
4,3,4,12,2002,339,5,49,28817.0
5,3,4,12,2002,339,5,49,29617.0
6,3,4,12,2002,339,5,49,31645.0
7,3,4,12,2002,339,5,49,34925.0
8,3,4,12,2002,339,5,49,37218.0
